Amerikara (ez naiz joango),115
Makarronia,115
Boga!,115
Hamaika esaldi,115
Bidasoa,115
Biak bat,115
Paretak,116
Magaly / Gaztetasuna,116
Karolina,116
Otoi,116
Alazne,116
Torkemada,116
Oihanumea,116
Hontz bat atean,116
Piolin,116
Bertsolari-Eltzegor,116
"1, 2, 3, 4 ispiluen aurrean",116
Herdoila astindu,116
Blues (herrikoiak),116
Hiru bertso,116
Tibo,117
Ilunbetan,117
Torkemada,117
Harrizko umea,117
"Harriak, harriak!",117
Zaldi beltzaren dantza,117
Pabloren margolana,117
Herdoila astindu,117
Hontz bat atean,117
Gabonak,117
"1, 2, 3, 4 ispiluen aurrean",117
Umorez,118
Laboraria,118
Txeru,118
Maitia,118
Aita Periko,118
Juana Bixenta,118
Zeltiberikoa,118
Iparragirrenak,118
Bautista Basterretxe,118
Argizagia,118
Otoi,119
Asteburua,119
Hator,119
Zure ondoan,119
B.E.Z.,119
Magaly,119
Gu geu izatea,119
Badabil,119
Auzoan zer berri den,119
Zuzenean,119
Kontubakin,120
Soldaduskan,120
Irrifar batez,120
Malko bi,120
Mattin,120
Ziriketan,120
Aidean,120
Azkenean deus ez,120
Kantatu nahi dut,120
Eneka,120
Izan ere,121
Hire begirada,121
Gaztetasuna,121
Non hago?,121
Musika ixila,121
Josetxo,121
Ihesi,121
Agintariak,121
Hitzek esan ezin dutena,121
Marinel,121
Gauero,122
Rockzale-Eguneroko Reggae,122
Kantuz,122
Bertsolari-Eltzegor-Mutur gehitxo,122
Langile,122
Amets trakets,122
Mari,122
Goizero-Korrikan-Akelarre,122
Bertsolari,123
Galtzagorri,123
Rockzale,123
Doinu zahar bati,123
Stress-ero,123
Eguneroko reggae,123
Alazne,123
Zintzilik,123
Eltzegor,124
Irauli,124
Mari,124
Entzuten,124
Mutur geitxo,124
Goiko kalean,124
Europako ekonomi elkartea,124
Joxe Miel,124
Kantauri,124
Korrikan,125
Atzo negu zen,125
Hitzaren atzetik,125
Oroipen,125
Amets trakets,125
Telele,125
Beti,125
Ari gara ari,125
Akelarre,126
Kantuz,126
Goizero,126
Eperra,126
Herria eta hizkuntza,126
Korkoin bi,126
Gaztetasunak,126
Hotel California,126
Korrikan,127
Asfaltuko lorea,128
Itzuli anaia,128
Sartu naiz,128
Eguna etorri zen,128
Famili bakar osoa,128
Amezkoan zudaire,128
Edurne,128
Maria marikita,128
Arin-arin,128
Akerraren semeak,129
Bakezalea,129
Hildakoen erantzunak,129
Hil ta jaio,129
Zilarra ala beruna,129
Azken egunak,129
1993,130
Hemen,130
Eguzkirantz,130
Terminus Hotel,130
Nonago,130
Bularretan,130
Exodus,130
Guretako,130
Seaska kanta,130
Handi hadi,130
Pika,131
Akula,131
Izerditan,131
Zalaparta,131
Lehen hegada,132
"Ingo yeu, ingo ñeu!",133
Folki Linza,134
Jonvals,134
Itzulerarik gabeko joana,134
Zer ote da?,134
Kontrolatuta daukat,134
Bidean...,134
Larunbata hastean,134
Barañain,134
Agur,134
Hodei,134
Ez dizut esango,134
Eta besterik ez,134
Hor nonbait,134
Auskalo,134
Mila galdera,135
Milaka zati,135
Diruaren pasarela,135
Haren begirada,135
Nahigabetuen mugak,135
Hamaika holako,135
Hiru mugarrieta,135
Kaosaren xarma,135
Laberinto sendaezina,135
Hiesa,135
Txipristinikan ez utzi,135
Zorion gailurra,135
Inshala,135
Tren leihotikan begira,135
Txanpon baten truke,136
Amets bat,136
Bota bexamela,136
Txuria lan beltzetan,136
Oroitzak,136
Atxutxale,136
Xurdin,136
Ez da errexa,136
Carpe diem,136
Bolada,136
"""Háblame en cristiano""",136
Miñi,136
Zunbeltz,136
Iugi,136
Ispilu aurrean,136
Udaberrian,137
Ez beti da ez,138
Alba,139
Piaroa,139
Lerrozuzena askatzen,139
Hozitu eta eihartu,139
Herrikoia,140
Plegaria,140
Shhh... Klakk,140
Mr. Josef's House,140
Jokuak,140
Ballerina,140
Langsam,140
"Haizetxean, gauez",140
Paisaia,140
À l'aube,140
Aingeruak,140
Time of Memories,140
Katrin Kanta,140
Ai alai alai!,140
Hiart Kanta,140
12 kilo,141
Agustina Antonia,141
The Seventeenth of July,141
Gipuzkoako zortzikoak: Gipuzkoako makila txikiena / Uztai txikiena,141
Beira finezko danborra,141
Ezkutari,141
Lapurtar motxak,141
"Lurra, ur, haize",141
Marcel's Desolation,141
Garazi,141
"Gaiañhera, abilua",141
Txipititxonian,141
Beste larogei urtian,141
Fusilatu zituztenei,141
Hiru ahoko ezpata: Leo usoa / Bi behatz / Cormac Breatnachen ezpatadantza,141
Mundua ala gu,141
Zamalzain,141
Urrutiko polkak,142
Lau anaiak,142
Sakabiren biribilketa,142
Gizonak eztau bear,142
Hariztarren balada,142
Bonbolostina,142
Urrestillako festetan,142
Tilosetako txistua,142
Bihotzeko Peru Gorri,142
Ekihaizea,142
Euntegietan,142
Gizon pipartzaleak,142
Neronek tirako nizkin,142
Txinparta,143
Ezpata-dantzak: Dantzau Daigun / Aita Juaniko / Perretxikotan / Binako,143
Oihaneko zuhainetan,143
Lakarra,143
Toberak,143
Hiru piztiak: Piztiak / Bernard Xirolarru Egilea / Anbar eta Beltza,143
Luma txurikoa naiz,143
"Hi, zelta!",143
Ez da munduan,143
Lau mazurka: Arratsalde lasaian / Lastaolako Haroztegia / Adarra / Bi hanka ezker,143
Urnietako doinua,143
"Santulari: Santulari zertan doa Portugaletera? / Atsoa, zer diñoe?",143
Plañitzen niz,143
Uztarrozko soka dantza,143
Jauntxoa,143
Trapatan,143
Etxeberriatarrak: Intro,143
Etxeberriatarrak: Fandango,143
Etxeberriatarrak: Arin arin,143
Iparhaizea / Ate irekia / Hanka hotzak,144
Zumarragako kalejira / Alaitasunean,144
Andre Nobiya,144
